signalname,Journal,Authors,Year,theory,LongDescription,misp_count,risk_count,misprice_risk_ratio,risk_mispricing_ratio,quote,liquidity,LiquidityNotes,Notes,post_2004,author_merge,Keep,word_count
InvestPPEInv,RFS,"Lyandres, Sun and Zhang",2008,risk,change in ppe and inv/assets,117,56,2.07017543859649,0.483050847457627,"In their real options model, Carlson et al. argue that firms have expansion
options and assets in place prior to equity issuance. This composition is levered
and risky. If real investment is financed by equity, then risk and expected returns
must decrease because investment extinguishes the risky expansion options.",0,"","",TRUE,Lyandres Sun Zhang,TRUE,7538
Investment,JFQA,"Titman, Wei and Xie",2004,mispricing,Investment to revenue,72,10,6.63636363636364,0.150684931506849,These observations are consistent with the hypothesis that investors tend to underreact to the empire building implications of increased investment expenditures,0,"","",TRUE,Titman Wei Xie,TRUE,6701
LRreversal,JF,De Bondt and Thaler,1985,mispricing,Long-run reversal,87,18,4.63157894736842,0.215909090909091,"The empirical evidence, based on CRSP monthly return data, is consistent with the overreaction hypothesis. Substantial weak form market inefficiencies are discovered. The results also shed new light on the January returns earned by prior â€œwinnersâ€ and â€œlosers.â€ Portfolios of losers experience exceptionally large January returns as late as five years after portfolio formation.",0,"","",FALSE,De Bondt Thaler,TRUE,2775
Leverage,JF,Bhandari,1988,mispricing,Market leverage,14,41,0.357142857142857,2.8,"it is not likely that the """"""""""""""""""""""""""""""""premiums"""""""""""""""""""""""""""""""" associated with DER, LTEQ, and probably
even BETA are due to higher risk",0,"","",FALSE,Bhandari,TRUE,4856
MRreversal,JF,De Bondt and Thaler,1985,mispricing,Medium-run reversal,87,18,4.63157894736842,0.215909090909091,"The empirical evidence, based on CRSP monthly return data, is consistent with the overreaction hypothesis. Substantial weak form market inefficiencies are discovered. The results also shed new light on the January returns earned by prior â€œwinnersâ€ and â€œlosers.â€ Portfolios of losers experience exceptionally large January returns as late as five years after portfolio formation.",0,"","",FALSE,De Bondt Thaler,TRUE,2775
MS,RAS,Mohanram,2005,mispricing,Mohanram G-score,55,15,3.5,0.285714285714286,"the results are inconsistent with a risk-based explanation as returns are positive in most years, and firms with lower risk earn higher returns.",0,"","",TRUE,Mohanram,TRUE,7684
MaxRet,JFE,"Bali, Cakici, and Whitelaw",2011,mispricing,Maximum return over month,49,43,1.13636363636364,0.879999999999997,Why is the effect we report not traded away by other well-diversified investors? Exploiting this phenomenon would require shorting stocks with extreme positive returns. The inability and/or unwillingness of many investors to engage in short-selling has been discussed extensively in the literature.,0,"","",TRUE,Bali Cakici Whitelaw,TRUE,8585
MeanRankRevGrowth,JF,"Lakonishok, Shleifer, Vishny",1994,mispricing,Revenue Growth Rank,58,65,0.893939393939394,1.11864406779661,This article provides evidence that value strategies yield higher returns because these strategies exploit the suboptimal behavior of the typical investor and not because these strategies are fundamentally riskier.,0,"","",FALSE,Lakonishok Shleifer Vishny,TRUE,8103
Mom12m,JF,Jegadeesh and Titman,1993,mispricing,Momentum (12 month),70,13,5.07142857142857,0.197183098591549,"The evidence is, however, consistent with delayed price reactions to firm-specific information.",0,"","",FALSE,Jegadeesh Titman,TRUE,5582
Mom12mOffSeason,JFE,Heston and Sadka,2008,agnostic,Momentum without the seasonal part,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
Mom6m,JF,Jegadeesh and Titman,1993,mispricing,Momentum (6 month),70,13,5.07142857142857,0.197183098591549,"The evidence is, however, consistent with delayed price reactions to firm-specific information.",0,"","",FALSE,Jegadeesh Titman,TRUE,5582
Mom6mJunk,JF,Avramov et al,2007,risk,Junk Stock Momentum,10,37,0.289473684210526,3.45454545454546,The results show that the link between momentum and credit risk remains strong and significant,0,"","",TRUE,Avramov,TRUE,3486
MomOffSeason,JFE,Heston and Sadka,2008,agnostic,Off season long-term reversal,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
MomOffSeason06YrPlus,JFE,Heston and Sadka,2008,agnostic,Off season reversal years 6 to 10,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
MomOffSeason11YrPlus,JFE,Heston and Sadka,2008,agnostic,Off season reversal years 11 to 15,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
MomOffSeason16YrPlus,JFE,Heston and Sadka,2008,agnostic,Off season reversal years 16 to 20,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
MomRev,JOIM,Chan and Ko,2006,mispricing,Momentum and LT Reversal,31,6,4.57142857142857,0.21875,"Suppose a stock overshoots the equilibrium value so that it experiences a price reversal. Since a price reversal is triggered only if there is substantial mispricing, the price momentum in the early stage of price reversal will be large in order to push the price back to the equilibrium value.",0,"","",TRUE,Chan Ko,TRUE,4655
MomSeason,JFE,Heston and Sadka,2008,agnostic,Return seasonality years 2 to 5,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
MomSeason06YrPlus,JFE,Heston and Sadka,2008,agnostic,Return seasonality years 6 to 10,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
MomSeason11YrPlus,JFE,Heston and Sadka,2008,agnostic,Return seasonality years 11 to 15,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
MomSeason16YrPlus,JFE,Heston and Sadka,2008,agnostic,Return seasonality years 16 to 20,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
MomSeasonShort,JFE,Heston and Sadka,2008,agnostic,Return seasonality last year,57,12,4.46153846153846,0.224137931034483,"[no nice quotes] Additional diagnostics show the seasonal effect occurs within industry and size categories. In this respect, it does not appear to be a byproduct of stock characteristics or simple proxies for risk.",0,"","",TRUE,Heston Sadka,TRUE,7040
MomVol,JF,Lee and Swaminathan,2000,mispricing,Momentum in high volume stocks,128,14,8.6,0.116279069767442,"our evidence shows that the information content of trading volume is related to market misperceptions of firmsâ€™ future earnings prospects. Specifically, we provide strong evidence that low ~high! volume stocks tend to be under- ~over-! valued by the market",0,"","",FALSE,Lee Swaminathan,TRUE,10048
NOA,JAE,Hirshleifer et al.,2004,mispricing,Net Operating Assets,100,20,4.80952380952381,0.207920792079208,"When the balance sheet is 'bloated' in this fashion, we argue that investors with limited attention will overvalue the firm",0,"","",TRUE,Hirshleifer,TRUE,7936
NetDebtFinance,JAE,"Bradshaw, Richardson, Sloan",2006,mispricing,Net debt financing,111,24,4.48,0.223214285714286,"Consistent with the misvaluation
explanation, our measure of external financing is positively related to overoptimism in analystsâ€™
forecasts.",0,"","",TRUE,Bradshaw Richardson Sloan,TRUE,8574
NetDebtPrice,JAR,"Penman, Richardson and Tuna",2007,agnostic,Net debt to price,26,102,0.262135922330097,3.81481481481482,"This observation accords with the
view that the enterprise book-to-price ratio is a firm characteristic that loads
on a risk factor, but is also consistent with the mispricing of book values.
In the absence of a well-specified asset pricing model, the issue cannot be
sorted out.",0,"","",TRUE,Penman Richardson Tuna,TRUE,8502
NetEquityFinance,JAE,"Bradshaw, Richardson, Sloan",2006,mispricing,Net equity financing,111,24,4.48,0.223214285714286,"Consistent with the misvaluation
explanation, our measure of external financing is positively related to overoptimism in analystsâ€™
forecasts.",0,"","",TRUE,Bradshaw Richardson Sloan,TRUE,8574
NetPayoutYield,JF,Boudoukh et al.,2007,agnostic,Net Payout Yield,24,24,1,1,"We show that the apparent demise of dividend yields as a predictor is due more to mismeasurement than alternative explanations such as spurious correlation, learning, etc.",0,"",The high minus low payout yield portfolio is a priced factor,TRUE,Boudoukh,TRUE,9037
NumEarnIncrease,MS,Loh and Warachka,2012,mispricing,Earnings streak length,83,9,8.4,0.119047619047619,"Overall,
post-earnings-announcement drift has a significant time-series component that is consistent with the gamblerâ€™s
fallacy.",0,"","",TRUE,Loh Warachka,TRUE,6325
OPLeverage,ROF,Novy-Marx,2011,risk,Operating leverage,9,73,0.135135135135135,7.40000000000001,"I derive and test implications of the operating leverage hypothesis for the cross-section
of expected returns",0,"","",TRUE,Novy-Marx,TRUE,6425
OScore,JF,Dichev,1998,mispricing,O Score,24,144,0.172413793103448,5.80000000000001,"Evidence from trading strategies long on healthy firms
and short on distressed firms and an examination of longer return windows
suggest that mispricing is the more likely explanation for this surprising
phenomenon.",0,"","",FALSE,Dichev,TRUE,4133
OperProf,JFE,Fama and French,2006,agnostic,operating profits / book equity,15,62,0.253968253968254,3.9375,We take no stance on whether the patterns in average returns observed here are rational or irrational.,0,"","",TRUE,Fama French,TRUE,7056
OptionVolume1,JFE,Johnson and So,2012,mispricing,Option to stock volume,117,38,3.02564102564103,0.330508474576271,"We argue that the negative relation between O/S and
future returns is driven by short-sale costs in equity
markets, which make option markets an attractive venue
for traders with negative news.",0,"",short-sale costs,TRUE,Johnson So,TRUE,8834
OptionVolume2,JFE,Johnson and So,2012,mispricing,Option volume to average,117,38,3.02564102564103,0.330508474576271,"We argue that the negative relation between O/S and
future returns is driven by short-sale costs in equity
markets, which make option markets an attractive venue
for traders with negative news.",0,"","",TRUE,Johnson So,TRUE,8834
OrderBacklog,RAS,"Rajgopal, Shevlin, Venkatachalam",2003,mispricing,Order backlog,109,19,5.5,0.181818181818182,We find that the stock market overweights the contribution of order backlog in predicting future earnings and a hedge strategy that exploits such overweighting generates significant future abnormal returns,0,"","",FALSE,Rajgopal Shevlin Venkatachalam,TRUE,7210
OrderBacklogChg,Other,Baik and Ahn,2007,mispricing,Change in order backlog,56,3,14.25,0.0701754385964912,"our evidence indicates that analysts underreact to the
information in changes in order backlog.",0,"","",TRUE,Baik Ahn,TRUE,3501
OrgCap,JF,Eisfeldt and Papanikolaou,2013,risk,Organizational capital,7,94,0.0842105263157895,11.875,"We refer
to this type of intangible capital as organization capital and develop a structural model
to analyze its effect on asset prices. We argue that shareholders consider rms with high
levels of organization capital to be riskier than rms with more physical capital, and provide
empirical evidence supporting this claim.",0,"","",TRUE,Eisfeldt Papanikolaou,TRUE,9065
PS,JAR,Piotroski,2000,mispricing,Piotroski F-score,53,8,6,0.166666666666667,"Overall, the evidence suggests that  the market does not fully incorporate historical financial information into prices in a timely manner",0,"","",FALSE,Piotroski,TRUE,9468
PayoutYield,JF,Boudoukh et al.,2007,agnostic,Payout Yield,24,24,1,1,"This shift in payout policy resulted in a magnification of an existing problem in measures of payout yields, namely, the exclusion of share repurchases. We show that once repurchases are taken into account, our measures of the total payout yield show significant predictive ability in both the time series and cross section of equity returns.",0,"",The high minus low payout yield portfolio is a priced factor,TRUE,Boudoukh,TRUE,9037
PctAcc,AR,"Hafzalla, Lundholm, Van Winkle",2011,mispricing,Percent Operating Accruals,84,26,3.14814814814815,0.317647058823529,"our results are consistent with the earnings fixation hypothesis
and are inconsistent with some alternative explanations for the accrual anomaly.",0,"","",TRUE,Hafzalla Lundholm Van Winkle,TRUE,6220
PctTotAcc,AR,"Hafzalla, Lundholm, Van Winkle",2011,mispricing,Percent Total Accruals,84,26,3.14814814814815,0.317647058823529,"our results are consistent with the earnings fixation hypothesis
and are inconsistent with some alternative explanations for the accrual anomaly.",0,"","",TRUE,Hafzalla Lundholm Van Winkle,TRUE,6220
PredictedFE,JAE,Frankel and Lee,1998,agnostic,Predicted Analyst forecast error,36,15,2.3125,0.432432432432432,"we acknowledge that high V_f/P firms may still be riskier
than low V_f /P firms in some other, as yet unidentified, dimension. We leave this
question to future research.",0,"","",FALSE,Frankel Lee,TRUE,7365
Price,JF,Blume and Husic,1973,agnostic,Price,24,17,1.38888888888889,0.719999999999999,"the results
in this paper suggest that the return generating function may be considerably
more complex than many investigators have previously assumed.",0,"","",FALSE,Blume Husic,TRUE,3743
PriceDelayRsq,RFS,Hou and Moskowitz,2005,mispricing,Price delay r square,646,115,5.57758620689655,0.179289026275116,"These results cannot be explained by microstructure, liquidity effects, market risk, or other known determinants of average returns, but appear most consistent with Merton's (1987) investor-recognition hypothesis",0,"","",TRUE,Hou Moskowitz,TRUE,8618
PriceDelaySlope,RFS,Hou and Moskowitz,2005,mispricing,Price delay coeff,646,115,5.57758620689655,0.179289026275116,"These results cannot be explained by microstructure, liquidity effects, market risk, or other known determinants of average returns, but appear most consistent with Merton's (1987) investor-recognition hypothesis",0,"","",TRUE,Hou Moskowitz,TRUE,8618
PriceDelayTstat,RFS,Hou and Moskowitz,2005,mispricing,Price delay SE adjusted,646,115,5.57758620689655,0.179289026275116,"These results cannot be explained by microstructure, liquidity effects, market risk, or other known determinants of average returns, but appear most consistent with Merton's (1987) investor-recognition hypothesis",0,"","",TRUE,Hou Moskowitz,TRUE,8618
ProbInformedTrading,JF,"Easley, Hvidkjaer and O'Hara",2002,risk,Probability of Informed Trading,30,151,0.203947368421053,4.9032258064516,We show in a rational expectation example how private information affects equilibrium asset returns.,0,"","",FALSE,Easley Hvidkjaer O'Hara,TRUE,9114
RD,JF,"Chan, Lakonishok and Sougiannis",2001,mispricing,R&D over market cap,27,8,3.11111111111111,0.321428571428572,"However, the market is apparently too pessimistic about beaten-down R&D-intensive technology stocks' prospects. Companies with high R&D to equity market value (which tend to have poor past returns) earn large excess returns.",0,"","",FALSE,Chan Lakonishok Sougiannis,TRUE,5638
RDAbility,RFS,"Cohen, Diether and Malloy",2013,mispricing,R&D ability,69,7,8.75,0.114285714285714,the stock market appears to ignore the implications of past successes when valuing future innovation,0,"","",TRUE,Cohen Diether Malloy,TRUE,7756
RDIPO,JBFA,"Gou, Lev and Shi",2006,mispricing,IPO and no R&D spending,58,5,9.83333333333333,0.101694915254237,Financial scholars who research the initial underpricing and long-term underperformance of IPOs generally attribute these phenomena to information asymmetry and investors' misvaluations ... .our identification of R&D as a major factor affecting IPO's performance contributes to the understanding of this important economic and capital market phenomenon.,0,"","",TRUE,Gou Lev Shi,TRUE,7479
RDS,AR,Landsman et al.,2011,mispricing,Real dirty surplus,56,4,11.4,0.087719298245614,"Taken together, the findings are consistent with investors over-valuing firms that have large
negative really dirty surplus",0,"","",TRUE,Landsman,TRUE,6334
RDcap,RFS,Li,2011,risk,R&D capital-to-assets,18,49,0.38,2.63157894736842,", R&D-intensive firmsâ€™ risk increases with their financial constraints",0,"","",TRUE,Li,TRUE,6683
REV6,JF,"Chan, Jegadeesh and Lakonishok",1996,mispricing,Earnings forecast revisions,97,15,6.125,0.163265306122449,"The results suggest a market that responds only gradually to new
information.",0,"","",FALSE,Chan Jegadeesh Lakonishok,TRUE,7945
RIO_Disp,JFE,Nagel,2005,mispricing,Inst Own and Forecast Dispersion,81,52,1.54716981132075,0.646341463414636,"the evidence in this
paper supports mispricing explanations of cross-sectional return predictability.",0,"","",TRUE,Nagel,TRUE,8026
RIO_MB,JFE,Nagel,2005,mispricing,Inst Own and Market to Book,81,52,1.54716981132075,0.646341463414636,"the evidence in this
paper supports mispricing explanations of cross-sectional return predictability.",0,"","",TRUE,Nagel,TRUE,8026
RIO_Turnover,JFE,Nagel,2005,mispricing,Inst Own and Turnover,81,52,1.54716981132075,0.646341463414636,"the evidence in this
paper supports mispricing explanations of cross-sectional return predictability.",0,"","",TRUE,Nagel,TRUE,8026
RIO_Volatility,JFE,Nagel,2005,mispricing,Inst Own and Idio Vol,81,52,1.54716981132075,0.646341463414636,"the evidence in this
paper supports mispricing explanations of cross-sectional return predictability.",0,"","",TRUE,Nagel,TRUE,8026
RIVolSpread,MS,Bali and Hovakimian,2009,risk,Realized minus Implied Vol,61,76,0.805194805194805,1.24193548387097,we find evidence that the realized-implied volatility spread is a proxy for volatility risk that has a significantly negative premium in the cross sectional pricing of individual stocks.,,"","",TRUE,"",TRUE,6636
RealizedVol,JF,Ang et al.,2006,agnostic,Realized (Total) Volatility,72,199,0.365,2.73972602739726,"Hence, our results on idiosyncratic volatility represent a substantive puzzle",,"","",TRUE,"",TRUE,10590
Recomm_ShortInterest,AR,"Drake, Rees and Swanson",2011,mispricing,Analyst Recommendations and Short-Interest,71,6,10.2857142857143,0.0972222222222221,"The characteristics of misvalued stocks can change over time, as long as short sellers and analysts disagree
about valuation and the current stock price under-weights the views of short sellers. The extent of
disagreement is also likely to be greatest in periods of high return volatility, and this is the type of
market environment in which investors want stock-picking guidance. Consistent with this conjecture, we find the highest returns during the 1999â€“2003 sub-period.",0,"","",TRUE,Drake Rees Swanson,TRUE,6869
ResidualMomentum,JEmpFin,"Blitz, Huij and Martens",2011,mispricing,Momentum based on FF3 residuals,23,21,1.09090909090909,0.916666666666667,"Our results are inconsistent with the notion that the momentum phenomenon can be
attributed to a priced risk factor or market microstructure effects.",0,"","",TRUE,Blitz Huij Martens,TRUE,7133
ReturnSkew,Book,"Bali, Engle and Murray",2015,agnostic,Return skewness,10,43,0.25,4,"The idea that the skewness, or the third moment, of returns is an important consideration to investors when determining optimal investments is introduced by Arditti (1967, 1971), who shows theoretically and empirically that investors demand a higher (loweAs with the CAPM, according to three-moment model of Kraus and Litzenberger (1976), unsystematic risk (both variance and skewness) is diversifiable and thus does not play a role in determining expected security returns… … Some papers have challenged the notion that idiosyncratic skewness is diversified away and therefore cannot be priced… … In this chapter, we examine the relations between skewness and expected stock returns.r) rate of return on investments whose return distributions are negatively (positively) skewed. ",0,"","",TRUE,Bali Engle Murray,TRUE,9111
ReturnSkew3F,Book,"Bali, Engle and Murray",2015,agnostic,Idiosyncratic skewness (3F model),10,43,0.25,4,"The idea that the skewness, or the third moment, of returns is an important consideration to investors when determining optimal investments is introduced by Arditti (1967, 1971), who shows theoretically and empirically that investors demand a higher (loweAs with the CAPM, according to three-moment model of Kraus and Litzenberger (1976), unsystematic risk (both variance and skewness) is diversifiable and thus does not play a role in determining expected security returns… … Some papers have challenged the notion that idiosyncratic skewness is diversified away and therefore cannot be priced… … In this chapter, we examine the relations between skewness and expected stock returns.r) rate of return on investments whose return distributions are negatively (positively) skewed. ",0,"","",TRUE,Bali Engle Murray,TRUE,9111
RevenueSurprise,JAE,Jegadeesh and Livnat,2006,mispricing,Revenue Surprise,91,7,11.5,0.0869565217391304,"Although analysts revise their forecasts of future earnings in response to revenue surprises, they are slow to incorporate fully the information in revenue surprises.",0,"","",TRUE,Jegadeesh Livnat,TRUE,5816
RoE,JFE,Haugen and Baker,1996,mispricing,net income / book equity,83,37,2.21052631578947,0.452380952380953,"Overall, the results seem to reveal a major failure in the Efficient Markets Hypothesis.",0,"","",FALSE,Haugen Baker,TRUE,7744
SP,FAJ,"Barbee, Mukherji and Raines",1996,agnostic,Sales-to-price,9,4,2,0.5,"The arguments and evidence presented in the
preceding paragraphs suggest that the S/P and
D/E may be more efficient explanatory factors for
common stock returns than the variables identified
by Fama and French",0,"","",FALSE,Barbee Mukherji Raines,TRUE,1737
STreversal,JF,Jegadeesh,1990,agnostic,Short term reversal,76,7,9.625,0.103896103896104,Predictability of stock returns can be attributed either to market inefficiency or to systematic changes in expected stock returns,0,"","",FALSE,Jegadeesh,TRUE,3528
ShareIss1Y,JF,Pontiff and Woodgate,2008,agnostic,Share issuance (1 year),20,2,7,0.142857142857143,"Although we do not address whether the source of this predictability is mispricing or a rational response to an asset pricing model, it appears doubtful that these results can be explained solely by a risk-based asset pricing model.",0,"","",TRUE,Pontiff Woodgate,TRUE,5256
ShareIss5Y,JF,Daniel and Titman,2006,agnostic,Share issuance (5 year),53,31,1.6875,0.592592592592593,Our findingâ€¦ â€¦is potentially consistent with standard risk-based modelsâ€¦ â€¦Behavioral theories may offer another avenue for explaining these results.,0,"","",TRUE,Daniel Titman,TRUE,8204
ShareRepurchase,JFE,"Ikenberry, Lakonishok, Vermaelen",1995,mispricing,Share repurchases,140,6,20.1428571428571,0.0496453900709221,"Thus, at least with respect to value stocks, the market errs in its initial response and appears to ignore much of the information conveyed through repurchase announcements",0,"","",FALSE,Ikenberry Lakonishok Vermaelen,TRUE,5713
ShareVol,JFM,"Datar, Naik and Radcliffe",1998,mispricing,Share Volume,70,19,3.55,0.28169014084507,The evidence suggests that liquidity plays a significant role in explaining the cross-sectional variation in stock returns.,1,Liquidity should improve over time,liquidity,FALSE,Datar Naik Radcliffe,TRUE,3006
ShortInterest,JFE,Dechow et al.,2001,mispricing,Short Interest,65,6,9.42857142857143,0.106060606060606,"Under this interpretation, short-sellers achieve superior returns by short-selling low-risk stocks.",0,"","",FALSE,Dechow,TRUE,6250
Size,JFE,Banz,1981,agnostic,Size,13,26,0.518518518518519,1.92857142857143,"To summarize, the size effect exists but it is not at all clear why it exists.",0,"","",FALSE,Banz,TRUE,2903
SmileSlope,JFE,Yan,2011,risk,Put volatility minus call volatility,16,89,0.188888888888889,5.29411764705882,"In the presence of jump risk, expected stock return is a function of the average jump size, which can be proxied by the slope of option implied volatility smile",0,"","",TRUE,Yan,TRUE,6820
Spinoff,JFE,"Cusatis, Miles and Woolridge",1993,mispricing,Spinoffs,29,24,1.2,0.833333333333333,These post-spinoff findings indicate that investors have not fully anticipated the increased takeover activity and therefore have underestimated the value created by spinoffs,0,"","",FALSE,Cusatis Miles Woolridge,TRUE,4101
SurpriseRD,JF,"Eberhart, Maxwell and Siddique",2004,mispricing,Unexpected R&D increase,214,10,19.5454545454545,0.0511627906976745,"We find consistent evidence of a mis-reaction, as manifested in the significantly positive abnormal stock returns that our sample firms' shareholders experience following these increases.",0,"","",TRUE,Eberhart Maxwell Siddique,TRUE,6489
Tax,AR,Lev and Nissim,2004,mispricing,Taxable income to income,13,3,3.5,0.285714285714286,"It appears, therefore, that during the 1990s investors became increasingly adept at using the forward-looking information in taxable income (or correlated information) in securities valuation",0,"","",TRUE,Lev Nissim,TRUE,7760
TotalAccruals,JAE,Richardson et al.,2005,mispricing,Total accruals,37,6,5.42857142857143,0.184210526315789,"Empirical tests generally confirm that less reliable accruals lead to lower earnings
persistence and that investors do not fully anticipate the lower earnings persistence, leading to significant security mispricing",0,"","",TRUE,Richardson,TRUE,10505
UpRecomm,JF,Barber et al.,2001,mispricing,Up Forecast,138,14,9.26666666666667,0.107913669064748,"We believe it is most likely that our results are evidence of a market that
is semistrong inefficient (before transactions costs).",0,"","",FALSE,Barber,TRUE,6631
VolMkt,JFE,Haugen and Baker,1996,mispricing,Volume to market equity,83,37,2.21052631578947,0.452380952380953,"Overall, the results seem to reveal a major failure in the Efficient Markets Hypothesis.",0,"","",FALSE,Haugen Baker,TRUE,7744
VolSD,JFE,"Chordia, Subra, Anshuman",2001,agnostic,Volume Variance,57,11,4.83333333333333,0.206896551724138,"However, our findings do not lend themselves to an obvious explanation, so that further
investigation of our results would appear to be a reasonable topic for future
research.",0,"","",FALSE,Chordia Subra Anshuman,TRUE,5066
VolumeTrend,JFE,Haugen and Baker,1996,mispricing,Volume Trend,83,37,2.21052631578947,0.452380952380953,"Overall, the results seem to reveal a major failure in the Efficient Markets Hypothesis.",0,"","",FALSE,Haugen Baker,TRUE,7744
XFIN,JAE,"Bradshaw, Richardson, Sloan",2006,mispricing,Net external financing,111,24,4.48,0.223214285714286,"Consistent with the misvaluation
explanation, our measure of external financing is positively related to overoptimism in analystsâ€™
forecasts.",0,"","",TRUE,Bradshaw Richardson Sloan,TRUE,8574
betaVIX,JF,Ang et al.,2006,risk,Systematic volatility,72,199,0.365,2.73972602739726,We find that innovations in aggregate volatility carry a statistically significant negative price of risk,0,"","",TRUE,Ang,TRUE,10590
cfp,AR,"Desai, Rajgopal, Venkatachalam",2004,mispricing,Operating Cash flows to price,183,9,18.4,0.0543478260869565,CFO/P is a powerful and comprehensive measure that subsumes the mispricing attributed to all the other value-glamour proxies.,0,"","",TRUE,Desai Rajgopal Venkatachalam,TRUE,7534
dCPVolSpread,JF,"An, Ang, Bali, Cakici",2014,mispricing,Change in put vol minus change in call vol,50,41,1.21428571428571,0.823529411764709,"The predictability from options to stock returns is consistent with economies wherein informed traders choose the option market to trade first… ...This causes the option market to lead the stock market, where informed trading does not predominate.",,"","",TRUE,"",TRUE,11815
dNoa,JAE,"Hirshleifer, Hou, Teoh, Zhang",2004,mispricing,change in net operating assets,100,20,4.80952380952381,0.207920792079208,"When the balance sheet is 'bloated' in this fashion, we argue that investors with limited attention will overvalue the firm",0,"","",TRUE,Hirshleifer Hou Teoh Zhang,TRUE,7936
dVolCall,JF,"An, Ang, Bali, Cakici",2014,mispricing,Change in call vol,50,41,1.21428571428571,0.823529411764709,"The predictability from options to stock returns is consistent with economies wherein informed traders choose the option market to trade first… ...This causes the option market to lead the stock market, where informed trading does not predominate.",,"","",TRUE,"",TRUE,11815
dVolPut,JF,"An, Ang, Bali, Cakici",2014,mispricing,Change in put vol,50,41,1.21428571428571,0.823529411764709,"The predictability from options to stock returns is consistent with economies wherein informed traders choose the option market to trade first… ...This causes the option market to lead the stock market, where informed trading does not predominate.",,"","",TRUE,"",TRUE,11815
fgr5yrLag,JF,La Porta,1996,mispricing,Long-term EPS forecast,38,15,2.4375,0.41025641025641,I show that investment strategies that seek to exploit errors in analysts' forecasts earn superior returns because expectations about future growth in earnings are too extreme.,0,"","",FALSE,La Porta,TRUE,6581
grcapx,JF,Anderson and Garcia-Feijoo,2006,risk,Change in capex (two years),26,45,0.586956521739131,1.7037037037037,"These findings are consistent with recent theoretical models (e.g., Berk, Green, and Naik (1999)) in which the exercise of investment growth options results in changes in both valuation and expected stock returns",0,"","",TRUE,Anderson Garcia-Feijoo,TRUE,5502
grcapx3y,JF,Anderson and Garcia-Feijoo,2006,risk,Change in capex (three years),26,45,0.586956521739131,1.7037037037037,"These findings are consistent with recent theoretical models (e.g., Berk, Green, and Naik (1999)) in which the exercise
of investment-growth options results in changes in both valuation and expected stock
returns",0,"","",TRUE,Anderson Garcia-Feijoo,TRUE,5502
hire,JPE,"Bazdresch, Belo and Lin",2014,risk,Employment growth,21,160,0.136645962732919,7.31818181818183,"we interpret this difference in average returns, which we refer to as the hiring return spread, as reflecting the relatively lower risk of the firms with higher hiring rates",0,"","",TRUE,Bazdresch Belo Lin,TRUE,11290
iomom_cust,JF,Menzly and Ozbas,2010,mispricing,Customers momentum,17,15,1.125,0.888888888888889,"All of these findings are consistent
with limited-information models",0,"","",TRUE,Menzly Ozbas,TRUE,5941
iomom_supp,JF,Menzly and Ozbas,2010,mispricing,Suppliers momentum,17,15,1.125,0.888888888888889,"All of these findings are consistent
with limited-information models",0,"","",TRUE,Menzly Ozbas,TRUE,5941
